"SL No.","UPC Code","Item Name","Category Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
1,11804161043000,"Cathy Doll Magic cream 60gm",Cream,220,500,,0,0
2,11804161038000,"Cathy doll snail bright 50ml",Cream,700,1000,,0,0
3,11803078950000,"Face Mask ",Mask,150,200,,0,0
4,11808091117000,"Gluta whitening Ocen Vite 250ml","Body Lotion",350,800,,10,10
5,11803068830000,"Peiyen 99%+Baby Lipstick Slim 8508-8534","Lip Gel",41,60,,3527,3527
6,1802114760000,"24K Gold Mask 220ml","Peel of Musk",220,300,,307,307
7,11810111159000,"3 days Sliming Gel 200ml","Thai Balm",220,350,,12,12
8,"8859128303829 8859128302372 8859128302334 8859128302310 8859128302945 8859128302358  ","3D Face Mask","Facial Gel",350,500,,277,277
9,1802113760000,"3Dee Glass Cleaner 300ml","Glass Cleaner",80,100,,0,0
10,1802111430000,"3Diamond Cotton Bud Adult 2001","Cotton Bud",250,350,,47,47
11,11803159310000,"700 Car Air-Freshener ","Air Freshener",110,150,,52,52
12,11803068730000,"700Car Freshner 150ml","Air Freshener",0,0,,0,0
13,11803058650000,"99% Aloe Vera Baby Lipsticks P8036",Lipstick,17,30,,522,522
14,11803119190000,"99% Sooting Gel 250ml Jer","Facial Toner",220,280,,24,24
15,11806031065000,"99% Sooting Gel+Scrub 120ml","Faceial Sponge",110,130,,1100,1100
16,11810091157000,"Abro Airfreshner 300ml","Air Freshener",90,100,,18,18
17,1802112910000,"Acmonica Eye Brow",Eyeliner,50,80,,504,504
18,8992821100415,"Acnes sealing gel 9 ml",Cream,100,180,,760,760
19,11802288550000,"Acnes Soap 80g",Soap,70,120,,108,108
20,1802113050000,"Acness FW 100ml","Face Wash",200,240,,0,0
21,1802113170000,"Acness FW 50ml","Face Wash",105,140,,116,116
22,"3607343816656 3607345401119 3607345380247 3614222813781    ","Adidas Body Spray 150ml","Body Spray",160,165,,0,0
23,"3607343871273 3607343871174 3607343871228     ","Adidas Rollon 50ml","Deo Roll On",120,150,,5,5
24,"3607340723346 3607340722127 3607340725982 3607343567893 3607340726682   ","Adidas Shower Gel 250ml","Body Wash",140,180,,1,1
25,"031655530079 031655671222      ","ADIDAS STICK","Deo Stick",100,200,,207,207
26,11808191144000,"AHA Serum 30ml","Body Lotion",200,300,,144,144
27,18851299001174,"Aim Brush",Toothbrush,60,80,,521,521
28,11802268300000,"Aini fresh Edt perfume 100ML	","Body Mist",160,350,,1,1
29,1802114080000,"Almas Mehedi","Hand Gloves",35,40,,0,0
30,8859010900051,"Almaya Whitening perl Cream 5g",Cream,140,180,,294,294
31,11808131134000,"Aloe Shampoo 260ml",Shampoo,195,250,,196,196
32,11805191056000,"Aloe Vera Face powder",Facepowder,100,200,,47,47
33,11808131135000,"Aloe vera Soothing Gel 99% 260ml Sing","Face Wash",160,180,,2,2
34,11810031156000,"Aloevera Face Powder ",Facepowder,0,0,,0,0
35,8859239301349,"Aloevera Snail Soap 70g",Soap,100,160,,0,0
36,8858907800078,"Alpha Arbutin Soap 70g",Soap,140,200,,244,244
37,1802117000000,"Ambi Pur Car Air Freshener 7ml","Air Freshener",400,500,,0,0
38,8992895141154,"Anais BS 150ml","Body Spray",650,850,,15,15
39,8859244200019,"Anasia Nail Remover 120ml","Nail Remover",90,120,,922,922
40,8859244200026,"Anasia Nail Remover 45ml","Nail Remover",40,60,,1804,1804
41,11804121004000,"Anchore Brand Brush","Show polish",54.17,100,,188,188
42,1802111610000,"Angelina Eye Brow",Eyebrow,50,80,,0,0
43,1802114560000,"Angelina Nail Remover 100ml","Nail Remover",90,120,,0,0
44,1802114600000,"Angelina Nail Remover 20ml","Nail Remover",40,60,,101,101
45,"8850722126869 8858918300932      ","Annasia Lip Gloss 4ml","Lip Gel",40,60,,48,48
46,11802288640000,"Anovia Kids Sunlotion 65ml","Baby Lotion",220,250,,158,158
47,8851495001117,"Anti Lice Shampoo 200ML",Shampoo,400,500,,21,21
48,"8851495003296 8851495002572      ","Anti Lice Shampoo 20ML",Shampoo,45,60,,307,307
49,11807221091000,"Apple Nail Cutter Set","Nail Cutter Set",70,100,,55,55
50,6001424129906,"Aquafresh Brush (C)",Toothbrush,30,33,,11,11
51,5000347000898,"Aquafresh Toothpaste 100ml",Toothpaste,160,180,,0,0
52,11809241155000,"Aramusk Perfume Body spray ","Body Spray",230,240,,4,4
53,8850252030049,"Arche Pearl Cream 3ml",Cream,600,620,,1,1
54,1802111560000,"Argan Hair Treatment","Hair Treatment",260,300,,0,0
55,5060120163714,"Argan Oil  100ml","Hair Treatment",240,250,,1,1
56,1802111570000,"Argan Oil  50ml","Hair Treatment",140,150,,1,1
57,8853502010280,"Argeville USA Black Soap 120gm",Soap,70,85,,307,307
58,"3360372115601 3360372058892      ","Armani Body Spray 150ml","Body Spray",1050,1250,,1,1
59,8850722092751,"Aron Aloe Face wash 150ml","Face Wash",150,280,,665,665
60,8850722067933,"Aron Baby lipstick 16ml",Lipstick,160,250,,16,16
61,"8850722129471 8850722129464 8850722068893     ","Aron BB Magic Lip Care 3.5gm","Lip Gel",50,80,,2284,2284
62,1802114210000,"Aron Color Lip Care 3.5g","Lip Gel",80,90,,0,0
63,8850722131795,"Aron Eye Brow",Eyeliner,50,80,,0,0
64,8850722180328,"Aron Eyeliner",Eyeliner,90,120,,300,300
65,8850722080277,"Aron Eyeshadow Platte 12 Colour",Eyeshadow,300,400,,0,0
66,"8850722291659 8850722291666      ","Aron Gluta Face& Body Scrub 150ml","Face Wash",200,250,,108,108
67,8850722044590,"Aron Gluta Milky Body Lotion 800ml","Body Lotion",550,850,,13,13
68,8850722400068,"Aron Goat Milk Hair Treatment 500ml","Hair Treatment",350,400,,0,0
69,"8850722043708 8850722200514      ","Aron Gold Lotion UV50 300ml","Body Lotion",200,350,,382,382
70,8850722129259,"Aron Imortal Lipstick",Lipstick,150,180,,217,217
71,8850722044323,"Aron Lemon Whitening Body Lotion 400ml","Body Lotion",300,480,,269,269
72,11803199500000,"Aron Lip Plate Set",Lipstick,300,400,,10,10
73,8850722126852,"Aron Lip Tiant Colour",Lipstick,80,120,,388,388
74,"8850722093017 8850722092928      ","Aron milky Charcoal facewash 190ml","Face Wash",160,250,,989,989
75,8850722039121,"Aron Oil Control Face Powder 14g",Facepowder,90,150,,612,612
76,8850722044620,"Aron Snail Now Body Lotion 400ml","Body Lotion",300,400,,0,0
77,11804151030000,"Aron Snail White Body Lotion 800ml","Body Lotion",600,800,,0,0
78,8853955002979,"Aron UV Lipgloss 3.2ml","Lip Gel",100,120,,0,0
79,8850722043647,"Aron UV Lotion 250ml","Body Lotion",140,200,,41,41
80,8850722043203,"Aron V-E Serum Lotion 400ml","Body Lotion",200,380,,130,130
81,1802114190000,"Aron Vitamin-E Moisturizing Lip Care 3.5g","Lip Gel",80,120,,4,4
82,8850722093079,"Aron Water Melon F.W 190ml","Face Wash",160,250,,0,0
83,8850722091990,"Aron Whitening Oil Control Facial Fome 210ml","Face Wash",150,220,,50,50
84,8850273151303,"ART Rat Killer 80ml","Baygon Spray",85,120,,355,355
85,8855753000010,"Asantee Tamarind Goat Milk Soap 135g",Soap,90,150,,10,10
86,"7640129890118 7640129892198 7640129892662     ","Asap Soap 80gm",Soap,70,90,,175,175
87,50007820,"Astral Cream 50ml",Cream,120,130,,0,0
88,8850535010812,"ATM Air Freshener Hangar 70gm","Air Freshener",38,45,,3527,3527
89,8850535630904,"ATM Air Freshener Refill 70gm","Air Freshener",30,35,,2502,2502
90,11804151029000,"ATM Napthaline  50ml",Napthaline,300,350,,0,0
91,8859288000569,"Aura White Virgin Soap 120gm",Soap,300,300,,23,23
92,"8888047857045 8888047857014      ","Aussie Hand Wash 414ml","Hand Wash",100,120,,83,83
93,5037378006322,"Autumn & may Lotion 500ml Uk","Body Lotion",500,700,,0,0
94,1802113810000,"Avon Hair Color","Hair Color",450,500,,0,0
95,8888115000144,"Axe oil 10ml","Olive Oil",100,100,,0,0
96,8888115000137,"Axe oil 14ml","Olive Oil",120,125,,11,11
97,8888115000120,"Axe Oil 28ml","Thai Balm",170,180,,35,35
98,"8992895300025 8992895300018 8992915600036     ","AXL Deo Body Spray 150ml","Body Spray",350,500,,0,0
99,8993417502217,"B & B Cologne 120ml","Baby Cologne Spray",120,180,,57,57
100,"8993417176227 8993417476266 8993417476235 8993417176234    ","B & B Kids Body Powder 150gm","Baby Powder",120,120,,246,246
101,11809111151000,"B Tex Expart Lotion 250ml","Body Lotion",240,280,,69,69
102,5012251007047,"B.F Foot Cream 100ml",Cream,240,280,,0,0
103,5012251012348,"B/F Wax Strips",Strips,180,250,,0,0
104,11803229560000,"Baby Brush twin 024","Baby Toothbrush",60,80,,1670,1670
105,1802114130000,"Baby Lips","Lip Gel",20,25,,0,0
106,11806261083000,"Baby Lips Pen Lipstick 8097",Lipstick,30,60,,2112,2112
107,8851123341035,"Baby Mild Powder 180gm","Baby Powder",120,180,,90,90
108,"8993417372230 8993417312236 8993417372216 8993417312229 8993417312212 8993417312243 8993417312267 ","Baby Mist Cologne B/M/E 100ml","Body Mist",100,160,,1314,1314
109,"8993417372131 8993417172113 8993417372117 8993417372124 8993417172120   ","Baby Mist Cologne B/M/E 60ml","Body Mist",80,120,,3605,3605
110,11803068790000,"Baby Toothbrush 024","Baby Toothbrush",62,80,,18,18
111,11803068780000,"Baby Toothbrush 8606","Baby Toothbrush",0,0,,0,0
112,11803068800000,"Baby Toothbrush 9036","Baby Toothbrush",0,0,,0,0
113,11803068770000,"Baby Toothbrush A 09,A013,A08,A02","Baby Toothbrush",26.67,30,,3348,3348
114,11807211088000,"Bamboo 98% Sooting  Gel","Facial Toner",220,240,,5,5
115,8855555555558,"Bamboo Toothpick 1001 pak","Dental Floss",30,40,,3,3
116,1802112490000,"Bamboo Toothpick Jar","Dental Floss",24,30,,6230,6230
117,11807221089000,"Bamboo Toothpick Match 40x1",Toothbrush,9,10,,34,34
118,8999338169997,"Barber Hair Muse 180ml","Hair Muse",180,180,,11,11
119,11808091115000,"Bargamont Herbal Shampoo 3319",Shampoo,280,450,,84,84
120,11808091116000,"Bargamont Herbal Shampoo 852",Shampoo,250,450,,95,95
121,6949392944858,"Be Matte Lipstick",Lipstick,60,70,,212,212
122,11803149270000,"Beauty Blander ","Faceial Sponge",40,50,,57,57
123,5012251008105,"Beauty Formula Foot Powder 100g","Foot Scrub",250,280,,1,1
124,"5012251011327 5012251009621      ","Beauty Formula Nose Strips","Face Wash",110,150,,115,115
125,11802268420000,"Bellagio Body Spray 80ml	","Baygon Spray",160,200,,241,241
126,8992832603684,"Bellagio Deodorant Spray 175ml","Body Spray",350,500,,23,23
127,"8992832191167 8992832191181 8992832603622 8992832191198 8992832191174   ","Bellagio Homme Cologne Spray 100ml","Body Spray",300,350,,0,0
128,11803139210000,"Bellagio Homme Edt 50ml","Body Mist",250,359,,13,13
129,"8850233260236 8850233260069      ","Bhasaj Body Lotion 150ml","Body Lotion",100,220,,64,64
130,11803068740000,"Big Orange Airfreshner 320ml","Air Freshener",130,160,,221,221
131,8858838100056,"Bigen Color POwder 6ml","Hair Color",100,120,,17,17
132,11803199460000,"Bio Active Aloe Vera Soap 100ml",Soap,83,200,,1752,1752
133,11804151016000,"Bio Active Banana Crack Heel cream 50ML","Heel cream",130,200,,1835,1835
134,8850722045016,"Bio Active Body Whitening Cream 100ml",Cream,240,300,,749,749
135,11804151019000,"Bio Active Cow Milk  Face Wash 100ML","Face Wash",100,150,,1930,1930
136,11803199430000,"Bio Active Dark Spot Remover Soap 100ml",Soap,83,200,,288,288
137,11804151018000,"Bio Active Face Mask Charcoal &  Bamboo 100ML","Peel of Musk",120,150,,0,0
138,11804151017000,"Bio Active Face Mask Charcoal & AloeVera 100ML","Peel of Musk",120,150,,3710,3710
139,8850722530819,"Bio Active Facial Whitening Cream 100ml",Cream,240,300,,89,89
140,11804151020000,"Bio Active Goat  Milk  Face Wash 100ml","Face Wash",100,150,,0,0
141,11803149290000,"Bio Active Goat Milk Soap 100ml",Soap,85,200,,959,959
142,11810111166000,"Bio Active Men Whitening Cream 100ml",Cream,240,320,,793,793
143,11803199450000,"Bio Active Milk Soap 100ml",Soap,83,200,,1957,1957
144,11803199440000,"Bio Active Sulfur Soap 100ml",Soap,83,200,,2472,2472
145,8850722200941,"Bio Active Sun Protection Cream 75ml",Cream,240,300,,157,157
146,8853252009909,"Bio Anne Bust Cream 60ml","Bust Cream",250,280,,0,0
147,"8809014275020 8809435660108 8809014275013     ","Bio Care Brush (Korea)",Toothbrush,130,160,,21,21
148,6001159111351,"Bio oil 125ml","Body Massage Oil",700,720,,0,0
149,11804171045000,"Bio Oil 60ml","Olive Oil",420,450,,6,6
150,8857098000014,"Bio Way Shampoo 240ml",Shampoo,350,400,,0,0
151,8888202060327,"Bio way Shampoo 300ml",Shampoo,138,140,,1,1
152,8855140002757,"Bio Women Shampoo 300ml",Shampoo,350,420,,335,335
153,"8992727003537 8992727005159 8992727005111     ","Biore Men FW 100ml","Face Wash",200,260,,181,181
154,"8851818010505 8851818020405 8992727005937 8992727002837 8992727005555 8992727005555  ","Biore Nose Strips",Strips,140,200,,666,666
155,1802113340000,"Biore Women Facewash 100ml","Face Wash",200,250,,669,669
156,8858854550057,"Birthday Eyelash Gum",Eyeliner,350,480,,0,0
157,1802113740000,"Birthday Foot Sponge","Foot Scrub",550,750,,10,10
158,6921199182909,"Black Mask 100ml #","Peel of Musk",120,130,,0,0
159,"6939374102468 6939374102055      ","Blush Makeup Brush","Makeup Brush",80,90,,0,0
160,8850722092744,"Bm.B Whitening Facial Foam 120ml","Face Wash",280,350,,94,94
161,11810111158000,"Body LIp Fat Burn 120ml","Thai Balm",180,300,,12,12
162,1802112270000,"Body Shop Aloe Day/Night Cream 50ml",Cream,920,920,,0,0
163,5028197182151,"Body Shop Banana/Rainforce Shampoo 250ml UK",Shampoo,480,550,,6,6
164,11806111082000,"Body Shop Ginger Shampoo 500ml",Shampoo,1180,1180,,0,0
165,5028197549855,"Body shop Mineral Mask 100ml","Face Wash",780,850,,0,0
166,1802111360000,"Body Shop Rain Force Conditioner 250ml UK",Conditioner,450,500,,0,0
167,5028197528959,"body shop Seaweed Cream 50ml UK",Cream,800,850,,0,0
168,5028197520151,"Body shop Seaweed/Toner/Aloe/Clenser 250ml","Facial Toner",680,750,,0,0
169,"5028197542948 5028197578763 5028197449636     ","Body Shop Shawer Gel 250ml uk","Body Wash",450,450,,5,5
170,5028197549893,"Body Shop Tea Tree Facial Scrub 100ml UK","Face Wash",540,600,,0,0
171,5028197200459,"Body Shop TT BB Cream 40ml UK",Cream,500,550,,0,0
172,5028197295592,"Body Shop V-E Aqua Boost Cream",Cream,850,1000,,1,1
173,1802112070000,"Body Shop V-E Day Cream 100ml",Cream,980,1050,,1,1
174,5028197199920,"Body Shop Vitamin-E F.W 125ml Uk","Face Wash",700,700,,0,0
175,1802111290000,"Bohua Comb 31 Set",Comb,160,180,,0,0
176,"025929165708 025929166538      ","Bondage Body spray 150ml","Body Spray",200,200,,0,0
177,11806111081000,"Boots Baby Lotion 500ml","Baby Lotion",450,450,,0,0
178,5045092618615,"Boots Cucumber Cream 100gm UK",Cream,200,220,,1,1
179,1802113120000,"Boots Facial Wash 150ml UK","Face Wash",250,250,,0,0
180,5000167189735,"Boots Hand Cream 100ml",Cream,200,250,,3,3
