"SL No.","UPC Code","Item Name","Category Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
1,11803088980000,"Brut After Sahve 100ml","After Shave",290,300,,1,1
2,1802112000000,"Skin Expart Men Aftershave+BW Set","After Shave",700,750,,0,0
3,11803088990000,"Gillette After Shave 100ml","After Shave",360,360,,1,1
4,"8850175018773 8850175018797 8850175018780     ","Glade Airfreshener 75ml","Air Freshener",140,200,,0,0
5,8992779145100,"Glade Air Freshener 250ml","Air Freshener",140,180,,892,892
6,"8850175010845 8850175010821 8850175014416     ","Glade Gel 70ml","Air Freshener",90,100,,1404,1404
7,8850175021667,"Glade Car 7ml","Air Freshener",240,500,,223,223
8,11803068750000,"Top Car Paper AirFreshner 2ml","Air Freshener",25,50,,855,855
9,8994037110011,"Tokyo Air Freshner 70ml","Air Freshener",50,60,,2,2
10,11803068730000,"700Car Freshner 150ml","Air Freshener",0,0,,0,0
11,11804151014000,"Daily Fresh Gel 70gm","Air Freshener",160,200,,227,227
12,4701,"Fresh N Fresh Air-Freshner 300ml","Air Freshener",140,200,,0,0
13,"8992779139406 8992779140402 8992779136405     ","Glade Air Freshener 350ml","Air Freshener",200,250,,0,0
14,1802117000000,"Ambi Pur Car Air Freshener 7ml","Air Freshener",400,500,,0,0
15,11803068760000,"Natural SPA 65ml","Air Freshener",120,120,,111,111
16,11803159330000,"Glade  Gel 75ml","Air Freshener",140,200,,264,264
17,"8850175012290 8850175012276 8850175012283     ","Glade Scented Gel 200ml","Air Freshener",160,180,,84,84
18,4056800891535,"GLADE MATIC DEVICE AUTO SET","Air Freshener",400,800,,180,180
19,8850535630904,"ATM Air Freshener Refill 70gm","Air Freshener",28,32,,0,0
20,11803068740000,"Big Orange Airfreshner 320ml","Air Freshener",130,160,,227,227
21,11803159310000,"700 Car Air-Freshener ","Air Freshener",110,150,,327,327
22,8850535010812,"ATM Air Freshener Hangar 70gm","Air Freshener",38,42,,66,66
23,11803068720000,"Lupai/Lesiyuan  Car Air Freshener 100ml","Air Freshener",100,150,,817,817
24,9556006000304,"Johnson Milk Bath 200ml","Baby Body Wash",160,200,,2605,2605
25,8850002019690,"Kodomo Top-to Wash 400ml","Baby Body Wash",350,350,,6,6
26,9556006012093,"Johnson Top To Toe 200ml","Baby Body Wash",160,200,,1786,1786
27,8850002016958,"Kodomo Top-to Wash 200ml","Baby Body Wash",170,215,,316,316
28,8850002016934,"Kodomo Top-to Wash 100ml","Baby Body Wash",90,115,,251,251
29,8850007090281,"Johnson Milk Bath 500ml","Baby Body Wash",350,400,,0,0
30,"8850002011892 8850002012554      ","Kodomo Shampoo 400ml","Baby Body Wash",340,350,,53,53
31,9556006060308,"Johnson Milk Bath 100ml","Baby Body Wash",90,100,,0,0
32,11804059720000,"Kodomo Body Wash 180ml Pump","Baby Body Wash",130,200,,754,754
33,8850002010352,"Kodomo Baby Bath 400ml","Baby Body Wash",350,350,,41,41
34,11802268400000,"Johnson Baby Bath Active Fresh 200ml","Baby Body Wash",150,200,,6,6
35,1802111800000,"Johnson Top To Toe 500ml","Baby Body Wash",350,400,,0,0
36,8850002010338,"Kodomo Baby Bath 200ml","Baby Body Wash",170,215,,12,12
37,8850002010314,"Kodomo Baby Bath 100ml","Baby Body Wash",90,115,,85,85
38,9556006012086,"Johnson Top To Toe 100ml","Baby Body Wash",85,110,,303,303
39,"8991111102719 8991111101613      ","Johnson Baby Cologne 125ml","Baby Cologne",160,180,,121,121
40,8993417502217,"B & B Cologne 120ml","Baby Cologne Spray",120,180,,57,57
41,11803068900000,"Johnson Baby Cream Milk 50ml","Baby Cream",170,190,,0,0
42,"88531649 88530208      ","Johnson Baby Cream Milk/Pink 50ml","Baby Cream",180,190,,807,807
43,88530215,"Johnson Baby Cream Milk/Pink 100ml","Baby Cream",270,285,,1,1
44,8998103001029,"Cussons Baby Set Mini","Baby Gift Set",260,300,,2,2
45,1802112300000,"Johnson Gift Set Large","Baby Gift Set",700,850,,435,435
46,11804059710000,"Johnson Gift Box Large (Paper)","Baby Gift Set",700,850,,24,24
47,8850002907645,"Kodomo Gift Set Large Box","Baby Gift Set",700,880,,156,156
48,1802112400000,"Johnson Gift Set Small","Baby Gift Set",350,450,,927,927
49,8850002907638,"Kodomo Gift Set Small","Baby Gift Set",450,500,,104,104
50,11806111080000,"Mother Care Lotion 300ml","Baby Lotion",430,430,,0,0
51,11805081048000,"Jhonsons Baby lotion 100ml Pink","Baby Lotion",95,95,,0,0
52,11803109110000,"Vipada Whitening Lotion 200ml","Baby Lotion",150,220,,72,72
53,"9556006060346 9556006060254      ","Johnson Baby Lotion 100ml","Baby Lotion",100,110,,7842,7842
54,9556006060353,"Johnson Baby Lotion 200ml (Milk)","Baby Lotion",200,240,,1830,1830
55,11802278500000,"Vaseline lotion 100ml","Baby Lotion",110,130,,445,445
56,11803089070000,"Dove Lotion 400ml","Baby Lotion",315,320,,1,1
57,8850002019614,"Kodomo Lotion 200ml","Baby Lotion",200,245,,31,31
58,11802258290000,"Isme Lotion 150ml","Baby Lotion",150,200,,129,129
59,11802288590000,"Nivea Lotion 100ml","Baby Lotion",100,150,,973,973
60,11806111081000,"Boots Baby Lotion 500ml","Baby Lotion",450,450,,0,0
61,8858989875230,"Tomato Lotion 500ml Thai","Baby Lotion",500,850,,76,76
62,"8850007032274 8850007032267      ","Johnson Baby Lotion 500ml","Baby Lotion",450,550,,128,128
63,1802112900000,"Johnson Baby Lotion 200ml (Pink)","Baby Lotion",200,220,,1716,1716
64,11802288640000,"Anovia Kids Sunlotion 65ml","Baby Lotion",220,250,,248,248
65,8850169547210,"Cussons Baby Oil 100ml","Baby Oil",140,160,,57,57
