"SL No.","UPC Code","Item Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
1,11708131936700,"Crockeries Yc0005",0,0,,0,0
2,11708131934100,"Crockeries Yc000511",0,0,"Home Plus Own Collection",0,0
3,11708131934400,"Crockeries Yc000512",1250,1795,"Home Plus Own Collection",0,0
4,11708131934700,"Crockeries Yc000513",550,790,"Home Plus Own Collection",0,0
5,11708131934900,"Crockeries Yc000514",0,0,"Home Plus Own Collection",0,0
6,11708131935100,"Crockeries Yc000515",620,895,"Home Plus Own Collection",0,0
7,11708131935300,"Crockeries Yc000516",0,0,"Home Plus Own Collection",0,0
8,11708131935600,"Crockeries Yc000517",0,0,"Home Plus Own Collection",0,0
9,11708131936300,"Crockeries Yc000519",1380,1860,"Home Plus Own Collection",0,0
10,11708131936400,"Crockeries Yc000521",950,1380,"Home Plus Own Collection",0,0
11,11708131936500,"Crockeries Yc000522",0,0,"Home Plus Own Collection",0,0
12,11708131937000,"Crockeries Yc000523",1480,2010,"Home Plus Own Collection",0,0
13,11708131937300,"Crockeries Yc000524",0,0,"Home Plus Own Collection",0,0
14,11708131937600,"Crockeries Yc000525",1450,2070,"Home Plus Own Collection",0,0
15,11708131937700,"Crockeries Yc000526",1440,2010,"Home Plus Own Collection",0,0
16,11708131937800,"Crockeries Yc000527",0,0,"Home Plus Own Collection",0,0
17,11708131938100,"Crockeries Yc000528",780,1140,"Home Plus Own Collection",0,0
18,11708131938400,"Crockeries Yc000529",850,1350,"Home Plus Own Collection",0,0
19,11708131938500,"Crockeries Yc000530",650,1140,"Home Plus Own Collection",0,0
20,11708131938600,"Crockeries Yc000531",0,0,"Home Plus Own Collection",0,0
21,11708131952000,"Crockeries YC000591",600,820,"Home Plus Own Collection",0,0
22,11708131952400,"Crockeries YC000592",0,0,"Home Plus Own Collection",0,0
23,11708131952600,"Crockeries YC000593",0,0,"Home Plus Own Collection",0,0
24,11708131952700,"Crockeries YC000594",0,0,"Home Plus Own Collection",0,0
25,11708131952800,"Crockeries YC000595",1150,1740,"Home Plus Own Collection",0,0
26,11708131952900,"Crockeries YC000596",0,0,"Home Plus Own Collection",0,0
27,11708131953000,"Crockeries YC000597",0,0,"Home Plus Own Collection",0,0
28,11708131953200,"Crockeries YC000598",0,0,"Home Plus Own Collection",0,0
29,11708131953400,"Crockeries YC000599",98,145,"Home Plus Own Collection",0,0
30,11708131953600,"Crockeries YC000600",98,145,"Home Plus Own Collection",0,0
31,11708131953900,"Crockeries Yc000601",0,0,"Home Plus Own Collection",0,0
32,11708131954100,"Crockeries YC000602",56,100,"Home Plus Own Collection",0,0
33,11708131954200,"Crockeries YC000603",0,0,"Home Plus Own Collection",0,0
34,11708131954400,"Crockeries YC000604",1150,1680,"Home Plus Own Collection",0,0
35,11708131954600,"Crockeries YC000605",2450,3900,"Home Plus Own Collection",0,0
36,11708131954700,"Crockeries YC000606",2370,3950,"Home Plus Own Collection",0,0
37,11708131955000,"Crockeries YC000607",2650,3900,"Home Plus Own Collection",0,0
38,180119790563,"Haiko Golap Jol 180ml ",16,20,"HAIKO CONSUMER PRODUCT",0,0
39,5000312000687,"Cadbary Drinking Chocolate 500gm",390,480,"Al-Madina Pvt Ltd",0,0
40,8901012188057,"Clean & Clear Strwberry face Wash50 Ml",73,92,"Jhonson and Jhonson Pvt Ltd",0,0
41,11709092119200,"Deshi Mango",140,150,"Home Plus Own Collection",0,0
42,8139003001584,"FLORAL SEPTEX FLOOR CLEANER 1L ",174,195,"ACI Limited",0,0
43,4902430442671,"Gillette Foam Regular 196gm",242.86,272,,0,0
44,11708252079500,"kwality choc bar77 ml ",19.95,25,"kwality ice creem ",0,0
45,11708252079400,"kwality mango ice creem 500ml",83,100,"kwality ice creem ",0,0
46,58-0035,"kwality vanila ice craem 1L",173,200,"kwality ice creem ",0,0
47,7622300473709,"orange tang 750 g",501,535,"SHAJEEB CORPORATION",0,0
48,8941100618196,"Vaseline Total Intensive Care Lotion 200ml",124.18,165,Uniliver,0,0
49,3340442514145,"10 x snickers share pack",190,200,"Al-Madina Pvt Ltd",0,0
50,11709112124300,"15 taka sar Radhuni Chilli Powder 500 gm",178,193,"Square Food and Beverage Ltd",0,0
51,6924336389056,"24k Gold Gel GLow Fairness & Smooth SKin 200g",150,250,"S M International",0,0
52,11710102235000,"28 Rice Loose KG",54,56,"Home Plus Own Collection",0,0
53,841165120659,"2in1 Eclair 175gm",95,125,"Pran Company Ltd",0,0
54,846656007532,"2in1 Eclair 240gm Box",95,120,"Pran Company Ltd",0,0
55,841165120888,"2in1 Eclair 550gm",255,318,"Pran Company Ltd",0,0
56,8941100313466,"7 UP 1L",52.3,60,"KALLOL LTD ",0,0
57,8941100313411,"7up 250ml",15.83,18,"TRANSCOM BEVERAGES LTD",0,0
58,8941100313480,"7up 2ltr",92,100,"TRANSCOM BEVERAGES LTD",0,0
59,8941100313435,"7up 500ml",32,35,"TRANSCOM BEVERAGES LTD",0,0
60,11708142014000,812546159124,0,0,"Teer Oil LTD",0,0
61,11708162043700,"8690604044894erfect coverage liquid concealer n:02 5ml",0,0,"Pearl International",0,0
62,11709152136600,a000250,550,700,,0,0
63,8941101010678,"Aarong  Dairy Sweetend Yogurt 500g ",78,100,"BRAC Dairy   Food Project",0,0
64,8941101010722,"Aarong  Dairy Yogurt 500g",68,75,"BRAC Dairy   Food Project",0,0
65,8941101010012,"Aarong Dairy Ghee 100gm",117,130,"BRAC Dairy   Food Project",0,0
66,8941101010531,"Aarong Dairy Ghee 200gm",220,240,"BRAC Dairy   Food Project",0,0
67,8941101010548,"Aarong Dairy Ghee 400gm",418,450,"BRAC Dairy   Food Project",0,0
68,8941101010555,"Aarong Dairy Ghee 900gm",878,925,"BRAC Dairy   Food Project",0,0
69,8941101010807,"Aarong Dairy MIlk Powder 500gm",237,260,"BRAC Dairy   Food Project",0,0
70,8941101010425,"Aarong Diary Milk Powder 25gm",18,20,"BRAC Dairy   Food Project",0,0
71,8941101010289,"Aarong UHT Milk 500ml",34.8,40,"BRAC Dairy   Food Project",0,0
72,813903000028,"aci aerosel insect spray 350ml",211,240,"ACI Limited",0,0
73,8139003001508,"ACI Aerosol Insect Spray 125 ml",68,99,"ACI Limited",0,0
74,813903000127,"ACI Aerosol Insect Spray 250gm",168,175,"ACI Limited",0,0
75,813903000035,"ACI Aerosol Insect Spray 475 ml",253,290,"ACI Limited",0,0
76,813903000042,"ACI Aerosol Insect Spray 800ml",360,415,"ACI Limited",0,0
77,8139003002192,"Aci Black Fighter Jambo 10 psc",40.5,75,"ACI Limited",0,0
78,815300000083,"Aci Brown atta",36,42,"ACI Foods Ltd",0,0
79,8139003000891,"ACI Cockrosch spray 250ml ",198,220,"ACI Limited",0,0
80,813903000448,"ACI Freedom Cotton Soft (Panty System) 10 p",81,90,"ACI Limited",0,0
81,813903000202,"ACI Hi Booster Small Size Pack",30.9,35,"ACI Limited",0,0
82,8139003000808,"Aci Jumbo Coil 12 Hour ",38,50,"ACI Limited",0,0
83,8153003000491,"ACI Nutrilife Rice Bran Oil 1l",115,133,"ACI Limited",0,0
84,8153003000507,"ACI Nutrilife Rice Bran Oil 2L",215,250,"ACI Limited",0,0
85,8153003000422,"Aci Nutrilife Rice Bran Oil 5L",500,605,"ACI Foods Ltd",0,0
86,8153003000354,"Aci Pure Atta 1kg",29,33,"ACI Foods Ltd",0,0
87,8153003000699,"ACI Pure Fortified Soyabean Oil 5Litre",495,530,"ACI Limited",0,0
88,8153003000378,"ACI Pure Maida 1 KG",39,45,"ACI Foods Ltd",0,0
