"SL No.","UPC Code","Item Name","Category Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
1,11708131936700,"Crockeries Yc0005",NFD,0,0,,0,0
2,11708131934100,"Crockeries Yc000511",NFD,0,0,"Home Plus Own Collection",0,0
3,11708131934400,"Crockeries Yc000512",NFD,1250,1795,"Home Plus Own Collection",1,1
4,11708131934700,"Crockeries Yc000513",NFD,550,790,"Home Plus Own Collection",2,2
5,11708131934900,"Crockeries Yc000514",NFD,0,0,"Home Plus Own Collection",0,0
6,11708131935100,"Crockeries Yc000515",NFD,620,895,"Home Plus Own Collection",0,0
7,11708131935300,"Crockeries Yc000516",NFD,0,0,"Home Plus Own Collection",0,0
8,11708131935600,"Crockeries Yc000517",NFD,1755,2700,"Home Plus Own Collection",1,1
9,11708131936300,"Crockeries Yc000519",NFD,1380,1860,"Home Plus Own Collection",1,1
10,11708131936400,"Crockeries Yc000521",NFD,950,1380,"Home Plus Own Collection",0,0
11,11708131936500,"Crockeries Yc000522",NFD,0,0,"Home Plus Own Collection",0,0
12,11708131937000,"Crockeries Yc000523",NFD,1480,2010,"Home Plus Own Collection",0,0
13,11708131937300,"Crockeries Yc000524",NFD,0,0,"Home Plus Own Collection",0,0
14,11708131937600,"Crockeries Yc000525",NFD,1450,2070,"Home Plus Own Collection",0,0
15,11708131937700,"Crockeries Yc000526",NFD,1440,2010,"Home Plus Own Collection",0,0
16,11708131937800,"Crockeries Yc000527",NFD,0,0,"Home Plus Own Collection",0,0
17,11708131938100,"Crockeries Yc000528",NFD,780,1140,"Home Plus Own Collection",0,0
18,11708131938400,"Crockeries Yc000529",NFD,850,1350,"Home Plus Own Collection",0,0
19,11708131938500,"Crockeries Yc000530",NFD,650,1140,"Home Plus Own Collection",0,0
20,11708131938600,"Crockeries Yc000531",NFD,0,0,"Home Plus Own Collection",0,0
21,11708131952000,"Crockeries YC000591",NFD,600,820,"Home Plus Own Collection",3,3
22,11708131952400,"Crockeries YC000592",NFD,1240,1680,"Home Plus Own Collection",1,1
23,11708131952600,"Crockeries YC000593",NFD,0,0,"Home Plus Own Collection",0,0
24,11708131952700,"Crockeries YC000594",NFD,0,0,"Home Plus Own Collection",0,0
25,11708131952800,"Crockeries YC000595",NFD,1150,1740,"Home Plus Own Collection",1,1
26,11708131952900,"Crockeries YC000596",NFD,0,0,"Home Plus Own Collection",0,0
27,11708131953000,"Crockeries YC000597",NFD,0,0,"Home Plus Own Collection",0,0
28,11708131953200,"Crockeries YC000598",NFD,0,0,"Home Plus Own Collection",0,0
29,11708131953400,"Crockeries YC000599",NFD,98,145,"Home Plus Own Collection",12,12
30,11708131953600,"Crockeries YC000600",NFD,98,145,"Home Plus Own Collection",3,3
31,11708131953900,"Crockeries Yc000601",NFD,0,0,"Home Plus Own Collection",0,0
32,11708131954100,"Crockeries YC000602",NFD,56,100,"Home Plus Own Collection",1,1
33,11708131954200,"Crockeries YC000603",NFD,0,0,"Home Plus Own Collection",0,0
34,11708131954400,"Crockeries YC000604",NFD,1150,1680,"Home Plus Own Collection",0,0
35,11708131954600,"Crockeries YC000605",NFD,2450,3900,"Home Plus Own Collection",0,0
36,11708131954700,"Crockeries YC000606",NFD,2370,3950,"Home Plus Own Collection",1,1
37,11708131955000,"Crockeries YC000607",NFD,2650,3900,"Home Plus Own Collection",1,1
38,8690604185313,"Flormar deluxe cashmere lipstick n;DC29 3gm","Personal Care",330,440,"Pearl International",3,3
39,8690604134267,"Flormar wet & dry compact powder n;06 10gm","Personal Care",435,580,"Pearl International",2,2
40,8690604134229,"Flormar wet & dry compact powder w05 10gm","Personal Care",435,580,"Pearl International",3,3
41,8690604134250,"Flormar wet & dry compact powder w08n10gm","Personal Care",525,700,"Pearl International",8,8
42,11712032422100,,"NFD Crockeries",0,0,"KIAM ",0,0
43,180119790563,"Haiko Golap Jol 180ml ","Kitchen Additivers",15,20,"HAIKO CONSUMER PRODUCT",22,22
44,5000312000687,"Cadbary Drinking Chocolate 500gm","Kitchen Additivers",350,480,"Al-Madina Pvt Ltd",7,7
45,8901012188057,"Clean & Clear Strwberry face Wash50 Ml","Personal Care",73,92,"Jhonson and Jhonson Pvt Ltd",0,0
46,11709092119200,"Deshi Mango",Perishabe,140,150,"Home Plus Own Collection",0,0
47,11711202371100,"F000147 Angur 3",NFD,60,90,"Home Plus Own Collection",9,9
48,8139003001584,"FLORAL SEPTEX FLOOR CLEANER 1L ","Home care",174,195,"ACI Limited",1,1
49,4902430442671,"Gillette Foam Regular 196gm","Personal Care",242.86,272,,0,0
50,11708252079500,"kwality choc bar77 ml ","Bevarage And  Tobaco",19.95,25,"kwality ice creem ",23,23
