"SL No.","UPC Code","Item Name","Category Name","Last Purchase Price","Last Sale Price","Company Name","Stock Quantity","Total Quantity"
1,11708101791200,"Freshy Baby wet wipes 150sheets","Baby Care",0,0,"MultiBrands Ltd",0,0
2,8903622037152,"Mamy Poko Pants S (4-8) 60 Pants ","Baby Care",950,1190,"Mamy Poko",1,1
3,831176110145♪,"Angel Avec Poigent 250ml","Baby Care",0,0,"Angel Yellow Care LTD",0,0
4,4710962431052,"Farlin Baby Wet Wipes 35pcs.","Baby Care",140,200,"M H Trade International",4,4
5,8941100501719,"Meril Baby Tooth Brush","Baby Care",30,50,"SQUARE CONSUMER PRODUCTS",28,28
6,8904009614614,"Huggies Dry Small up to 7kg","Baby Care",86,120,"MultiBrands Ltd",3,3
7,8850851110005,"Stony Angel (Rna-2n2pp)","Baby Care",160,200,"Angel Yellow Care LTD",8,8
8,8850851110067,"Stony Angel (Rxa-8d2h1)","Baby Care",190,250,"M H Trade International",2,2
9,8850002013605,"Kodomo baby powder Natural 200g","Baby Care",138,185,"Pentagon international ltd ",4,4
10,8850002012561,"Kodomo Baby Shampoo 200ml","Baby Care",220,2255,"Pentagon international ltd ",4,4
11,4710962443093,"Farlin Bath Ball ","Baby Care",98,138,"Farlin Industrial Ltd",0,0
12,11708101786300,Neocd,"Baby Care",0,0,"Incepta Hygiene and Hospicare Ltd",0,0
13,4513574012936,"Baby Oil Mineral 300ml","Baby Care",950,1450,"Japan Beauty Cosmetics ",0,0
14,8850851511246,"Angel Silicone L size","Baby Care",35,40,"Angel Yellow Care LTD",57,57
15,8904009616595,"Huggies Wonder Pants M 56 Pants ","Baby Care",950,1280,"hagis Wonder pants",1,1
16,8904009616571,"Huggies Wonder pants 5pcs(M)","Baby Care",165,180,"MultiBrands Ltd",0,0
17,4710962141043,"Farlin Silicone Gum Soother ","Baby Care",103.5,138,"Farlin Industrial Ltd",0,0
18,8139003002116,"Savlon Twinkle Baby Diaper 4pcs M","Baby Care",1,120,"ACI Limited",74,74
19,8901012115022,"Jhonsons Baby lotion 100ml","Baby Care",118,137,"S M International",8,8
20,1708101791400,"Johnson's Baby Wipes 90 Sheet","Baby Care",125,200,"S M International",17,17
21,8850007020240,"Johnsons Baby soap 75 g","Baby Care",46,150,"Sohel Brothers",8,8
22,8903622037343,"Mamy Poko Pants L 32 Pants ","Baby Care",650,820,"Mamy Poko",4,4
23,831177120464,"Angel Feeding Bottle O+","Baby Care",120,160,"Angel Yellow Care LTD",2,2
24,8904009615987,"Huggies Pants 9-14kg L size","Baby Care",120,150,"MultiBrands Ltd",5,5
25,8139003002475,"Savlon Twinkel Baby diaper XL 32pcs","Baby Care",725,950,"ACI Limited",2,2
26,8904009614621,"Huggies Dry midiuem 5-11kg","Baby Care",86,120,"MultiBrands Ltd",11,11
27,8850851110036,"stony Angel (RxaA2)","Baby Care",170,250,"M H Trade International",3,3
28,4710962432004,"Farlin Baby FEeding Bottle Wash 500ml","Baby Care",320,410,"Farlin Industrial Ltd",2,2
29,8888300193507,"Kodomo Cleanser For bottle wash 750ml","Baby Care",308,415,"Pentagon international ltd ",1,1
30,11804022734800,"Johonsons Baby Wipes 1850 cm+","Baby Care",248.6,360,"sm International Ltd ",7,7
31,4710962128068,"Farlin Anti Colic S Nipple 360cc","Baby Care",250,315,"FAIR DISTRIBUTION LTD",0,0
32,8850851532562,"Angel L Anti Colic Nipple 250ml","Baby Care",160,200,"Angel Yellow Care LTD",2,2
33,432516122011,"Kidz cotton wet Wipes","Baby Care",170,230,"kidz company",7,7
34,1403020419040,"Neo Care Baby Diaper 4pcs Small","Baby Care",79.05,100,"Incepta Hygiene and Hospicare Ltd",4,4
35,4513574011793,"Pharmaact Zero Cleansing Oil 130g","Baby Care",1020,1320,"Japan Beauty Cosmetics ",0,0
36,4710962444311,"Farlin Baby Cotsheet","Baby Care",260,350,"Farlin Industrial Ltd",10,10
