"SL No.","UPC Code","Item Name","Company Name","Category Name","Purchase Price","Sale Price",Category,Offer,"Available Quantity"
1,8901023011368,"Fair Glow Soap 100gm","Godrej Household Products BD Pvt  L","Personal Care",950,950,"Personal Care",0,24
2,8941100502068,"Meril Milk soap bar 150gm","SQUARE TOILETRIES LIMITED","Personal Care",38.61,42,"Personal Care",0,62
3,8941100501726,"Meril Milk soap bar 100gm","SQUARE TOILETRIES LIMITED","Personal Care",23,28,"Personal Care",0,16
4,8941100500187,"Meril Milk & Kiwi soap bar 100gm","SQUARE TOILETRIES LIMITED","Personal Care",25.66,28,"Personal Care",0,14
5,8941100650721,"Lifebuoy total 100gm",Uniliver,"Personal Care",24.83,27,"Personal Care",0,70
6,8906053740103,"Aveon Saffron Milk & Honey 75gm","Devine corporation Ltd","Personal Care",42,60,"Personal Care",0,6
7,8906053740066,"Aveon Neam & Tulshi 75gm","Devine corporation Ltd","Personal Care",48,60,"Personal Care",0,8
8,8901023006241,"Cinthol Confidance+ 100gm","Godrej Household Products BD Pvt  L","Personal Care",30,35,"Personal Care",0,19
9,8901023009990,"Cinthol Lime soap 100gm","Godrej Household Products BD Pvt  L","Personal Care",30.5,35,"Personal Care",0,10
10,8941100648643,"Lux velvet touch 150gm",Uniliver,"Personal Care",38.63,42,"Personal Care",0,67
11,8941100648636,"Lux soft touch 150gm",Uniliver,"Personal Care",38.63,42,"Personal Care",0,37
12,8941100650042,"Lux velvet touch 100gm",Uniliver,"Personal Care",27.5,30,"Personal Care",0,80
13,8941100650059,"Lux soft touch 100gm",Uniliver,"Personal Care",27.5,30,"Personal Care",0,54
14,088021513051,"Jasmine soap 125gm","MOUSUMI ENTERPRISES LTD ","Personal Care",40,45,"Personal Care",0,19
15,088021512856,"Cute rose soap 125gm","MOUSUMI ENTERPRISES LTD ","Personal Care",40,45,"Personal Care",0,14
16,088021513006,"Cute lemon soap 125gm","MOUSUMI ENTERPRISES LTD ","Personal Care",40,45,"Personal Care",0,13
17,088021512900,"Cute neem soap 125gm","MOUSUMI ENTERPRISES LTD ","Personal Care",40,45,"Personal Care",0,3
18,088021513068,"Jasmine soap 75gm","MOUSUMI ENTERPRISES LTD ","Personal Care",23,26,"Personal Care",0,21
19,088021513013,"Cute lemon soap 75gm","MOUSUMI ENTERPRISES LTD ","Personal Care",23,26,"Personal Care",0,11
20,6941674401875,"Keda Ladyshave ",Aponjon,"Personal Care",930,930,"Personal Care",0,5
21,8941100283189,"Dettol cool soap 125gm","Rekit benkezer ltd","Personal Care",41,46,"Personal Care",0,2
22,8941100283172,"Dettol skin care soap 75gm","Rekit benkezer ltd","Personal Care",28.83,32,"Personal Care",0,17
23,8941100283318,"Dettol deep cleanse soap 75gm","Rekit benkezer ltd","Personal Care",28.83,32,"Personal Care",0,26
24,9556311225119,"Prodental B breath spray","Tradesworth Household Limited","Personal Care",140,180,"Personal Care",0,8
25,9556311223498,"Prodental B dental floss 50m","Tradesworth Household Limited","Personal Care",140,160,"Personal Care",0,11
26,9556311891321,"Prodental B dental floss stick 24pcs","Tradesworth Household Limited","Personal Care",58,80,"Personal Care",0,7
27,9556311221272,"Prodental B idal dental floss pick 50pcs","Tradesworth Household Limited","Personal Care",125,165,"Personal Care",0,3
28,8941100651025,"Pepsodent pro sensitive tooth paste140gm",Uniliver,"Personal Care",114,135,"Personal Care",0,1
29,9556311891208,"Prodental B fresh mint tooth paste 175gm","Tradesworth Household Limited","Personal Care",150,175,"Personal Care",0,10
30,8901571005659,"Sensodyne Fresh Mint Tooth Paste 130g IND","Organix GSK","Personal Care",248.89,280,"Personal Care",0,6
31,8941100651360,"Pepsodent germi check toothpaste 100gm",Uniliver,"Personal Care",61.25,70,"Personal Care",0,6
32,8901314077790,"Colgate visible white toothpaste 100gm","ACI Limited","Personal Care",141.59,160,"Personal Care",0,8
33,8901314010025,"Colgate strong teeth 200gm","ACI Limited","Personal Care",110,120,"Personal Care",0,12
34,8901207500657,"Meswak toothpase 100gm","Asian Consumer Care","Personal Care",42,52,"Personal Care",0,3
35,5000347016455,"Sensodyne original 100gm IMP ","Mela International","Personal Care",330,420,"Personal Care",0,2
36,5000347016448,"Sensodyne total care 100gm IMP","Mela International","Personal Care",330,420,"Personal Care",0,2
37,8901207500633,"Meswak toothpase 50gm","Asian Consumer Care","Personal Care",22,28,"Personal Care",0,4
38,8941100650813,"Closeup menthol fresh 145gm",Uniliver,"Personal Care",93.25,105,"Personal Care",0,20
39,8901314021045,"Colgate Herbal 200gm IMP","ACI Limited","Personal Care",107,120,"Personal Care",0,12
40,8901314009784,"Colgate active salt toothpaste 50gm IMP","ACI Limited","Personal Care",38.2,45,"Personal Care",0,31
41,8901314010520,"Colgate strong teeth 100gm IMP","ACI Limited","Personal Care",59.87,65,"Personal Care",0,22
42,025929122206,"Colour Me Gold Perfum 90 ml","Banijjo international","Personal Care",950,1150,"Personal Care",0,5
43,8901571004102,"Sensodyne Fresh Mint Tooth Paste 40g IND",GSK,"Personal Care",102.22,115,"Personal Care",0,6
44,8901571004096,"Sensodyne Fresh Mint Tooth Paste 70g IND","Organix GSK","Personal Care",173,195,"Personal Care",0,20
45,8941100650820,"Closeup menthol fresh toothpaste 100gm",Uniliver,"Personal Care",68.75,78,"Personal Care",0,19
46,8941100651834,"closeup menthol fresh 50gm",Uniliver,"Personal Care",35.5,40,"Personal Care",0,1
47,025929121957,"Colour Me Gold Perfum 50 ml","Glo Brands","Personal Care",480,625,"Personal Care",0,1
48,8901888000897,"Dabur Red paste 200gm","Asian Consumer Care","Personal Care",85,110,"Personal Care",0,4
49,8902714330072,"Meswak Toothpaste 200gm","Asian Consumer Care","Personal Care",78.5,95,"Personal Care",0,4
50,025929121506,"Colour Me Red Perfum 50 ml","Glo Brands","Personal Care",428,625,"Personal Care",0,3
51,025929121605,"Colour Me Purple Perfum 50 ml","Glo Brands","Personal Care",468,625,"Personal Care",0,2
52,8901314009081,"Colgate active salt toothpaste 200gm IMP","ACI Limited","Personal Care",123.89,125,"Personal Care",0,9
53,8941100500736,"White plus toothpaste 200gm","SQUARE TOILETRIES LIMITED","Personal Care",83.5,105,"Personal Care",0,7
54,8941100500132,"Magic Tooth powder 100gm","SQUARE TOILETRIES LIMITED","Personal Care",28.25,35,"Personal Care",0,8
55,9556311222187,"Procare Mouthwash fresh mint 100ml","Tradesworth Household Limited","Personal Care",110,135,"Personal Care",0,3
56,4005900207975,"Nivea Men B.D Energy Body Spray 120 ml","International Distribution Co BD Pvt","Personal Care",255,350,"Personal Care",0,1
57,9556311991267,"Procare mouthwash cool mint 250ml","Tradesworth Household Limited","Personal Care",185,255,"Personal Care",0,4
58,4005900332950,"Nivea Men B.D Sprint Body Spray 120 ml","International Distribution Co BD Pvt","Personal Care",255,350,"Personal Care",0,4
59,9556311222170,"Procare mouthwash cool mint 100ml","Tradesworth Household Limited","Personal Care",75,135,"Personal Care",0,4
60,4005900332943,"Nivea Men B.D intense Body Spray 120 ml","International Distribution Co BD Pvt","Personal Care",255,350,"Personal Care",0,4
61,9556311221289,"Procare mouthwash freshmint 250ml","Tradesworth Household Limited","Personal Care",200,255,"Personal Care",0,4
62,8696630130723,"Cool breeze quantum energy body spray 200ml","ELIT MARKETING CO","Personal Care",175,235,"Personal Care",0,1
63,8696630130693,"Cool breeze cobalt reflect body spray 200ml","ELIT MARKETING CO","Personal Care",175,235,"Personal Care",0,3
64,8696630130792,"Cool breeze oxygen dose body spray 200ml","ELIT MARKETING CO","Personal Care",175,235,"Personal Care",0,1
65,8885009978985,"Sport Pour Homme Eau De Toilette Parfum 100ml","Banijjo international","Personal Care",675,810,"Personal Care",0,1
66,8696630130709,"Cool breeze extreme limit body spray 200ml","ELIT MARKETING CO","Personal Care",175,235,"Personal Care",0,2
67,8696630130648,"Cool breeze cotton touch body spray 200ml","ELIT MARKETING CO","Personal Care",175,235,"Personal Care",0,3
68,6295124024719,"Disguise reflection women perfume 100ml",,"Personal Care",600,750,"Personal Care",0,2
69,6295124024672,"Disguise carnival women body spray 100ml",,"Personal Care",600,750,"Personal Care",0,1
70,6295124024696,"Disguise deception perfume women 100ml",,"Personal Care",600,750,"Personal Care",0,1
71,6295124024702,"Disguise Masquerade perfume women 100gm",,"Personal Care",600,750,"Personal Care",0,3
72,6295124024658,"Disguise reflation perfume men 100ml",,"Personal Care",600,750,"Personal Care",0,3
73,8885009979708,"Aqua Bleu Eau De Toilette Parfum 100ml","Banijjo international","Personal Care",620,810,"Personal Care",0,1
74,6295124024627,"Disguise clandestine perfume men 100ml",,"Personal Care",600,750,"Personal Care",0,2
75,8885009979753,"Soul Essence Eau De Toilette Parfum 100ml","Banijjo international","Personal Care",675,810,"Personal Care",0,2
76,6295124024610,"Disguise carnival perfume men 100ml",,"Personal Care",600,750,"Personal Care",0,1
77,6295124024641,"Disguise masqurade perfume men 100ml",,"Personal Care",600,750,"Personal Care",0,2
78,088021511149,"Cute Romance Eau De Parfum 60ml","MOUSUMI ENTERPRISES LTD ","Personal Care",200,225,"Personal Care",0,4
79,6295124024634,"Disguise deception perfume men 100ml",,"Personal Care",600,750,"Personal Care",0,1
80,6295124024726,"Disguise stimulate perfume men 100ml","BRAND CONNECT","Personal Care",600,750,"Personal Care",0,2
81,088021511156,"Cute Romance Eau De Parfum 15ml","MOUSUMI ENTERPRISES LTD ","Personal Care",80,90,"Personal Care",0,3
82,6295124024979,"Disguise stimulate body spray men 100ml",,"Personal Care",188,285,"Personal Care",0,1
83,6295124024924,"Disguise deception body spray men 200ml",,"Personal Care",188,285,"Personal Care",0,1
84,6295124024955,"Disguise reflection body spray men 100ml",,"Personal Care",188,285,"Personal Care",0,2
85,8906055790359,"Layer'r Shot Absolute Series Body Spray 135ml","Pearl International","Personal Care",308,385,"Personal Care",0,2
86,8906055790281,"Layer'r Shot Power Play Body Spray 135ml","Pearl International","Personal Care",268,335,"Personal Care",0,5
87,8906055790304,"Layer'r Shot Red Stallion Body Spray 135ml","Pearl International","Personal Care",268,335,"Personal Care",0,3
88,6295124024887,"Disguise carnivals body spray women 200ml",,"Personal Care",188,285,"Personal Care",0,1
89,8906055790342,"Layer'r Wattagirl Fresh Citrus Body Spray 135ml","Pearl International","Personal Care",268,335,"Personal Care",0,2
90,6085010047225,"ED celebrity estiara body spray 200ml","Glo Brands","Personal Care",225,275,"Personal Care",0,1
91,8906055790182,"Layer'r Wattagirl Mystic Island Body Spray 135ml","Pearl International","Personal Care",268,335,"Personal Care",0,1
92,6085010047997,"ED magnificent body spray 200ml ","Glo Brands","Personal Care",225,275,"Personal Care",0,3
93,8906055790724,"Layer'r Shot Bullet Ammo Body Spray 120ml","BRAND CONNECT","Personal Care",248,350,"Personal Care",0,8
94,8906055790748,"Layer'r Shot Bullet Burst Body Spray 120ml","BRAND CONNECT","Personal Care",248,320,"Personal Care",0,5
95,6085010092126,"ED backpack body spray 200ml","Glo Brands","Personal Care",225,275,"Personal Care",0,1
96,8906055790755,"Layer'r Shot Bullet Reload Body Spray 120ml","BRAND CONNECT","Personal Care",248,350,"Personal Care",0,5
97,8414135630360,"Nike turn it on body spray 150ml","Banijjo international","Personal Care",158,210,"Personal Care",0,1
98,8906055790731,"Layer'r Shot Bullet Bang Body Spray 120ml","BRAND CONNECT","Personal Care",248,320,"Personal Care",0,3
99,8414135100221,"Nike passion for vanilla body spray 150ml","Banijjo international","Personal Care",165,210,"Personal Care",0,1
100,8414135630377,"Nike night fever body spray 150ml","Banijjo international","Personal Care",158,210,"Personal Care",0,3
101,8414135100191,"Nike life on coconut body spray 150ml","Banijjo international","Personal Care",165,210,"Personal Care",0,3
102,8414135100207,"Nike fruit burst body spray 150ml","Banijjo international","Personal Care",165,210,"Personal Care",0,2
103,8414135255761,"Nike ride body spray 200ml","Banijjo international","Personal Care",195,260,"Personal Care",0,3
104,8414135623256,"Nike ON FIRE body spray 200ML","HOSSEN TREADING INT ","Personal Care",210,299,"Personal Care",0,7
105,6085010041704,"Armaf Blue Homme for Men Body Spray 200ml","Pearl International","Personal Care",280,350,"Personal Care",0,2
106,8414135255754,"Nike urban mask body spray 200ml","Banijjo international","Personal Care",210,260,"Personal Care",0,1
107,8414135255723,"Nike casual body spray 200ml","Banijjo international","Personal Care",210,260,"Personal Care",0,3
108,4005808299195,"Nivea men fresh active body spray 150ml","International Distribution Co BD Pvt","Personal Care",217,250,"Personal Care",0,6
109,6297000402062,"English Blazer London for Men Body Spray 150ml","Pearl International","Personal Care",220,275,"Personal Care",0,2
110,4005808816019,"Nivea fresh natural body spray 150ml","International Distribution Co BD Pvt","Personal Care",217,250,"Personal Care",0,3
111,4005808594306,"Nivea whitening body spray 150ml","International Distribution Co BD Pvt","Personal Care",217,250,"Personal Care",0,3
112,4005808837311,"Nivea pearl & beauty body spray 150ml","International Distribution Co BD Pvt","Personal Care",217,250,"Personal Care",0,6
113,025929131802,"Kashmir Body Spray 150ml","Banijjo international","Personal Care",168,210,"Personal Care",0,2
114,8941100501078,"Kool Saint body spray 150ml","SQUARE TOILETRIES LIMITED","Personal Care",180,220,"Personal Care",0,6
115,8941100501054,"Kool Blue Passion Body Spray 150ml","SQUARE TOILETRIES LIMITED","Personal Care",180,220,"Personal Care",0,4
116,8941100501023,"Kool Classic Body Spray 150ml","SQUARE TOILETRIES LIMITED","Personal Care",180,220,"Personal Care",0,6
117,8902682011058,"X-London desire body spray 150ml","BRAND CONNECT","Personal Care",140,240,"Personal Care",0,1
118,7640129895083,"Denim Black Body Spray 150ml","Darkin Trade and Dristibution","Personal Care",210,250,"Personal Care",0,3
119,8902682011096,"X-London desperado body spray 150ml","BRAND CONNECT","Personal Care",140,205,"Personal Care",0,2
120,7640142778585,"Denim Gold Body Spray 150ml","Avijat Trading Crop","Personal Care",175,240,"Personal Care",0,6
121,8941100501061,"Kool Citrus Beat Body Spray 150ml","SQUARE TOILETRIES LIMITED","Personal Care",180,220,"Personal Care",0,5
122,8941100501825,"Kool provoke body spray 150ml","SQUARE TOILETRIES LIMITED","Personal Care",180,220,"Personal Care",0,6
123,8941100501818,"Kool Ignite Body Spray 150ml","SQUARE TOILETRIES LIMITED","Personal Care",180,220,"Personal Care",0,6
124,7640142779230,"Denim Desire Body Spray 150ml","Avijat Trading Crop","Personal Care",210,250,"Personal Care",0,3
125,025929154801,"America Body Spray Pink for Woman 150ml","Banijjo international","Personal Care",200,260,"Personal Care",0,3
126,025929154863,"America Body Spray Red for Woman 150ml","Banijjo international","Personal Care",200,260,"Personal Care",0,3
127,025929152302,"America Colours Body Spray 150ml","Banijjo international","Personal Care",198.85,260,"Personal Care",0,7
128,7640129895076,"Denim Musk Body Spray 150ml","Avijat Trading Crop","Personal Care",175,240,"Personal Care",0,4
129,0799439301702,"Dexe black hair shampoo  25ml*10","Devine corporation Ltd","Personal Care",285,400,"Personal Care",0,8
130,025929123715,"Colour Me Silver Body Spray 150ml","Banijjo international","Personal Care",195,260,"Personal Care",0,5
131,5010797007453,"Selsun suspention M T Dandruff 150ml","Mela International","Personal Care",375,440,"Personal Care",0,3
132,8696630132352,"Fawaris Sheer B.Spray for Woman 150ml","ELIT MARKETING CO","Personal Care",175,215,"Personal Care",0,2
133,8857101159036,"EverGlow facial scrub papaya & raspberry 175ml","UNION BD CONSUMER LTD","Personal Care",170,255,"Personal Care",0,4
134,614514060056,"Romance  B.Spray 200ml","UNION BD CONSUMER LTD","Personal Care",232,290,"Personal Care",0,4
135,025929154825,"America Body Spray Black for Woman 150ml","Banijjo international","Personal Care",200,260,"Personal Care",0,6
136,8941100500972,"Revive Perfect fresjmess b-spray 150ml","SQUARE TOILETRIES LIMITED","Personal Care",200,250,"Personal Care",0,7
137,045893038457,"Dove H.T color care condi. 355ml IMP","Banijjo international","Personal Care",340,410,"Personal Care",0,4
138,754604500120,"Hollywood zero dandruff conditioner 360ml  ","Banijjo international","Personal Care",375,500,"Personal Care",0,2
139,614514060094,"Emotion Pour Femme B.Spray 200ml","UNION BD CONSUMER LTD","Personal Care",245,290,"Personal Care",0,5
140,025929151206,"America Musk B.Spray","Banijjo international","Personal Care",175,260,"Personal Care",0,4
141,8901526989539,"Garnier ultra blends shampoo 175ml",,"Personal Care",160,180,"Personal Care",0,1
142,614514060179,"Romance for men forever 200ml",,"Personal Care",230,270,"Personal Care",0,2
143,8941100618790,"Sunsilk hair fall solution shampoo 375ml",Uniliver,"Personal Care",237,270,"Personal Care",0,10
144,8696630136749,"Rex Rooter b-spray for man","ELIT MARKETING CO","Personal Care",160,210,"Personal Care",0,1
145,813903000264,"Savlon Antiseptic Cream 60gm","ACI Limited","Personal Care",25,34,"Personal Care",0,98
146,614514060018,"Blue lady b-spray 200ml","UNION BD CONSUMER LTD","Personal Care",175,290,"Personal Care",0,10
147,8941100500576,"Kool Extra Moisture Saving Foam 100ml","SQUARE TOILETRIES LIMITED","Personal Care",105,125,"Personal Care",0,4
148,8941100500446,"Kool Monsoon Moisture Saving Foam 50ml","SQUARE TOILETRIES LIMITED","Personal Care",44.5,50,"Personal Care",0,18
149,8941100500965,"revive invigorative citrus b-spray 150ml","SQUARE TOILETRIES LIMITED","Personal Care",200,250,"Personal Care",0,7
150,614514060063,"Royale pour homme b-spray 200ml ","UNION BD CONSUMER LTD","Personal Care",220,270,"Personal Care",0,3
